"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"Hanehalkı tipi (1)";"Hanehalkı büyüklüğü (_T)";"ADNKS Gösterge (HH_SAY)";"Zaman (2014)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2017";"1716515";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2018";"1718818";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2019";"1776246";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2020";"1872358";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2021";"1839005";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2022";"1867502";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2023";"1799312";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2024";"1776231";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2025";"1724341";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2014";"551014";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2015";"550681";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2016";"557119";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2017";"560401";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2018";"561543";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2019";"583479";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2020";"620079";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2021";"608621";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2022";"621831";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2023";"602152";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2024";"594791";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"6";"Hanehalkı sayısı";"2025";"574883";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2014";"413508";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2015";"397471";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2016";"385882";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2017";"371402";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2018";"358949";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2019";"359135";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2020";"374686";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2021";"354483";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2022";"352776";"";"";"";"";""
