"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"İkamet edilen yer (TR)";"ADNKS Gösterge (ORT_HH_BUYUKLUK)";"Zaman (2008)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2012";"2,88410361530795";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2013";"2,85124361882078";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2014";"2,80975886676883";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2015";"2,78996125703701";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2016";"2,77274128598229";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2017";"2,75170191758042";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2018";"2,73173419399458";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2019";"2,70594211415893";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2020";"2,687770745319";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2021";"2,64286387559651";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2022";"2,61311620002366";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2023";"2,61146813029208";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2024";"2,5985105942847";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2025";"2,57893760254852";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2008";"2,9";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2009";"2,91658805231891";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2010";"2,83873234619188";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2011";"2,79805484017573";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2012";"2,75634382494892";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2013";"2,73003420067477";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2014";"2,69794140267556";"";"";"";"";""
