"Coğrafi Kapsam";"Gözlem Sıklığı";"İstatistiksel Gösterge";"İkamet edilen yer";"Hanehalkı tipi";"ADNKS Gösterge";"Zaman";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2016";"4150576";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2017";"4232904";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2018";"4306967";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2019";"4521402";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2020";"4596419";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2021";"4755086";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2022";"4859620";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2023";"4827915";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2024";"4855719";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2025";"4917759";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2014";"23021";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2015";"24797";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2016";"26159";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2017";"27453";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2018";"28666";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2019";"30073";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2020";"32037";"";"";"";"";""
